bbrID,headshot,name
poweldw01,1,Dwight Powell
daviste02,1,Terence Davis
kanteen01,1,Enes Freedom
portibo01,1,Bobby Portis
nworajo01,1,Jordan Nwora
antetth01,1,Thanasis Antetokounmpo
diakima01,1,Mamadi Diakite
toupaax01,1,Axel Toupane
bryanel01,,Elijah Bryant
merrisa01,1,Sam Merrill
jacksju01,1,Justin Jackson
bjeline01,1,Nemanja Bjelica
strusma01,1,Max Strus
achiupr01,1,Precious Achiuwa
yurtsom01,1,Omer Yurtseven
brownbr01,1,Bruce Brown
claxtni01,1,Nic Claxton
shamela01,1,Landry Shamet
luwawti01,1,Timothé Luwawu-Cabarrot
chiozch01,1,Chris Chiozza
jordade01,1,DeAndre Jordan
jamesmi02,1,Mike James
johnsal02,1,Alize Johnson
johnsty01,1,Tyler Johnson
perryre01,1,Reggie Perry
youngtr01,1,Trae Young
bogdabo01,1,Bogdan Bogdanović
collijo01,1,John Collins
dunnkr01,1,Kris Dunn
huertke01,1,Kevin Huerter
huntede01,1,De'Andre Hunter
mayssk01,1,Skylar Mays
knighna01,1,Nathan Knight
okongon01,1,Onyeka Okongwu
reddica01,1,Cam Reddish
goodwbr01,1,Brandon Goodwin
fernabr01,1,Bruno Fernando
bridgmi01,1,Mikal Bridges
bookede01,1,Devin Booker
aytonde01,1,Deandre Ayton
payneca01,1,Cameron Payne
johnsca02,1,Cameron Johnson
saricda01,1,Dario Šarić
carteje01,1,Jevon Carter
gallola01,1,Langston Galloway
kaminfr01,1,Frank Kaminsky
naderab01,1,Abdel Nader
alexaty01,1,Ty-Shon Alexander
smithja04,1,Jalen Smith
harremo01,1,Montrezl Harrell
walkeke02,1,Kemba Walker
mitchdo01,1,Donovan Mitchell
zubaciv01,1,Ivica Zubac
brownja02,1,Jaylen Brown
robinmi01,1,Mitchell Robinson
clarkbr01,1,Brandon Clarke
wiggian01,1,Andrew Wiggins
paytoga02,1,Gary Payton II
poolejo01,1,Jordan Poole
toscaju01,1,Juan Toscano-Anderson
weathqu01,1,Quinndary Weatherspoon
moodymo01,1,Moses Moody
kuminjo01,1,Jonathan Kuminga
wisemja01,1,James Wiseman
hylanbo01,1,Bones Hyland
campafa01,1,Facundo Campazzo
reedda01,1,Davon Reed
nnajize01,1,Zeke Nnaji
howarma02,1,Markus Howard
banede01,1,Desmond Bane
meltode01,1,De'Anthony Melton
moranja01,1,Ja Morant
brookdi01,1,Dillon Brooks
jacksja02,1,Jaren Jackson Jr.
konchjo01,1,John Konchar
tillmxa01,1,Xavier Tillman Sr.
willizi02,1,Ziaire Williams
tilliki02,1,Killian Tillie
culveja01,1,Jarrett Culver
aldamsa01,1,Santi Aldama
doncilu01,1,Luka Dončić
brunsja01,1,Jalen Brunson
finnedo01,1,Dorian Finney-Smith
klebima01,1,Maxi Kleber
ntilila01,1,Frank Ntilikina
greenjo02,1,Josh Green
burketr01,1,Trey Burke
chrisma01,1,Marquese Chriss
tatumja01,1,Jayson Tatum
williro04,1,Robert Williams
pritcpa01,1,Payton Pritchard
theisda01,1,Daniel Theis
willigr01,1,Grant Williams
hausesa01,1,Sam Hauser
kornelu01,1,Luke Kornet
nesmiaa01,1,Aaron Nesmith
fittsma01,1,Malik Fitts
morgaju01,1,Juwan Morgan
stausni01,1,Nik Stauskas
barnesc01,1,Scottie Barnes
lavinza01,1,Zach LaVine
thybuma01,1,Matisse Thybulle
balllo01,1,Lonzo Ball
willizi01,1,Zion Williamson
martica02,1,Caleb Martin
highsha01,1,Haywood Highsmith
jovicni01,1,Nikola Jović
zelleco01,1,Cody Zeller
allengr01,1,Grayson Allen
beaucma01,1,MarJon Beauchamp
quickim01,1,Immanuel Quickley
hartjo01,1,Josh Hart
harteis01,1,Isaiah Hartenstein
randlju01,1,Julius Randle
grimequ01,1,Quentin Grimes
toppiob01,1,Obi Toppin
mcbrimi01,1,Miles McBride
barrerj01,1,RJ Barrett
simsje01,1,Jericho Sims
jeffrda01,1,DaQuan Jeffries
champju01,1,Justin Champagnie
mathega01,1,Garrison Mathews
okogijo01,1,Josh Okogie
mcdanja02,1,Jaden McDaniels
vandeja01,1,Jarred Vanderbilt
kennalu01,1,Luke Kennard
